2026/07/12 22:16:00.003, 0, 21.60, 2, 0
2026/07/12 22:16:00.019, 1, 36.07, 0, 9
2026/07/12 22:16:00.035, 2, 13.38, 0, 0
2026/07/12 22:16:00.051, 3, 34.30, 0, 0
2026/07/12 22:16:00.569, 0, 21.60, 1, 0
2026/07/12 22:16:00.569, 1, 35.85, 0, 9
2026/07/12 22:16:00.569, 2, 13.89, 0, 0
2026/07/12 22:16:00.569, 3, 35.21, 0, 0
2026/07/12 22:16:01.069, 0, 21.60, 1, 0
2026/07/12 22:16:01.069, 1, 44.18, 25, 16
2026/07/12 22:16:01.069, 2, 16.82, 0, 0
2026/07/12 22:16:01.069, 3, 67.03, 99, 38
2026/07/12 22:16:01.569, 0, 176.77, 98, 41
2026/07/12 22:16:01.569, 1, 44.18, 25, 16
2026/07/12 22:16:01.569, 2, 16.82, 0, 0
2026/07/12 22:16:01.569, 3, 67.03, 98, 38
2026/07/12 22:16:02.069, 0, 226.71, 98, 32
2026/07/12 22:16:02.069, 1, 288.87, 99, 22
2026/07/12 22:16:02.069, 2, 194.08, 80, 22
2026/07/12 22:16:02.069, 3, 312.90, 99, 30
2026/07/12 22:16:02.569, 0, 241.65, 99, 30
2026/07/12 22:16:02.569, 1, 308.85, 98, 22
2026/07/12 22:16:02.569, 2, 230.71, 99, 27
2026/07/12 22:16:02.569, 3, 306.85, 98, 31
2026/07/12 22:16:03.069, 0, 249.04, 97, 32
2026/07/12 22:16:03.069, 1, 310.19, 99, 22
2026/07/12 22:16:03.069, 2, 239.73, 97, 27
2026/07/12 22:16:03.069, 3, 301.39, 98, 32
2026/07/12 22:16:03.569, 0, 249.04, 97, 32
2026/07/12 22:16:03.569, 1, 300.40, 99, 21
2026/07/12 22:16:03.569, 2, 242.72, 99, 26
2026/07/12 22:16:03.569, 3, 301.39, 98, 32
2026/07/12 22:16:04.069, 0, 250.86, 99, 29
2026/07/12 22:16:04.070, 1, 300.40, 100, 21
2026/07/12 22:16:04.070, 2, 242.72, 99, 26
2026/07/12 22:16:04.070, 3, 300.24, 97, 29
2026/07/12 22:16:04.570, 0, 251.23, 97, 30
2026/07/12 22:16:04.570, 1, 299.92, 99, 21
2026/07/12 22:16:04.570, 2, 247.22, 98, 26
2026/07/12 22:16:04.570, 3, 300.31, 98, 30
2026/07/12 22:16:05.070, 0, 250.18, 97, 30
2026/07/12 22:16:05.070, 1, 299.75, 99, 21
2026/07/12 22:16:05.070, 2, 243.34, 99, 26
2026/07/12 22:16:05.070, 3, 299.33, 98, 29
2026/07/12 22:16:05.570, 0, 251.43, 99, 30
2026/07/12 22:16:05.570, 1, 300.40, 98, 20
2026/07/12 22:16:05.570, 2, 245.89, 98, 26
2026/07/12 22:16:05.570, 3, 300.27, 97, 29
2026/07/12 22:16:06.070, 0, 251.43, 99, 30
2026/07/12 22:16:06.070, 1, 300.40, 98, 20
2026/07/12 22:16:06.070, 2, 245.89, 98, 26
2026/07/12 22:16:06.070, 3, 300.27, 97, 29
2026/07/12 22:16:06.570, 0, 251.68, 99, 30
2026/07/12 22:16:06.570, 1, 300.08, 97, 21
2026/07/12 22:16:06.570, 2, 244.45, 98, 27
2026/07/12 22:16:06.570, 3, 299.96, 98, 29
2026/07/12 22:16:07.070, 0, 252.84, 98, 30
2026/07/12 22:16:07.070, 1, 299.95, 98, 21
2026/07/12 22:16:07.070, 2, 245.90, 98, 25
2026/07/12 22:16:07.070, 3, 300.01, 98, 30
2026/07/12 22:16:07.570, 0, 251.91, 99, 29
2026/07/12 22:16:07.570, 1, 299.98, 98, 21
2026/07/12 22:16:07.570, 2, 247.87, 99, 26
2026/07/12 22:16:07.570, 3, 300.15, 96, 30
2026/07/12 22:16:08.070, 0, 225.01, 96, 30
2026/07/12 22:16:08.070, 1, 275.47, 47, 10
2026/07/12 22:16:08.070, 2, 227.92, 0, 0
2026/07/12 22:16:08.070, 3, 280.80, 98, 28
2026/07/12 22:16:08.571, 0, 225.01, 96, 30
2026/07/12 22:16:08.571, 1, 275.47, 47, 10
2026/07/12 22:16:08.571, 2, 227.92, 0, 0
2026/07/12 22:16:08.571, 3, 280.80, 98, 28
2026/07/12 22:16:09.071, 0, 251.98, 100, 31
2026/07/12 22:16:09.071, 1, 313.54, 99, 22
2026/07/12 22:16:09.071, 2, 238.68, 98, 27
2026/07/12 22:16:09.071, 3, 313.56, 98, 31
2026/07/12 22:16:09.571, 0, 250.70, 99, 30
2026/07/12 22:16:09.571, 1, 300.25, 95, 20
2026/07/12 22:16:09.571, 2, 243.13, 95, 26
2026/07/12 22:16:09.571, 3, 300.34, 98, 29
2026/07/12 22:16:10.071, 0, 253.58, 98, 29
2026/07/12 22:16:10.071, 1, 300.15, 99, 21
2026/07/12 22:16:10.071, 2, 245.45, 99, 25
2026/07/12 22:16:10.071, 3, 300.39, 98, 29
2026/07/12 22:16:10.571, 0, 254.75, 99, 30
2026/07/12 22:16:10.571, 1, 301.33, 94, 21
2026/07/12 22:16:10.571, 2, 246.77, 98, 25
2026/07/12 22:16:10.571, 3, 300.25, 97, 29
2026/07/12 22:16:11.071, 0, 254.75, 99, 30
2026/07/12 22:16:11.071, 1, 301.33, 94, 21
2026/07/12 22:16:11.071, 2, 246.77, 98, 25
2026/07/12 22:16:11.071, 3, 300.25, 97, 29
2026/07/12 22:16:11.571, 0, 254.93, 99, 30
2026/07/12 22:16:11.571, 1, 300.06, 99, 21
2026/07/12 22:16:11.571, 2, 247.41, 99, 25
2026/07/12 22:16:11.571, 3, 300.61, 98, 29
2026/07/12 22:16:12.071, 0, 254.93, 98, 30
2026/07/12 22:16:12.071, 1, 300.00, 96, 21
2026/07/12 22:16:12.071, 2, 247.84, 98, 25
2026/07/12 22:16:12.071, 3, 299.82, 97, 31
2026/07/12 22:16:12.572, 0, 252.81, 99, 29
2026/07/12 22:16:12.572, 1, 299.04, 98, 21
2026/07/12 22:16:12.572, 2, 245.31, 97, 25
2026/07/12 22:16:12.572, 3, 299.78, 98, 29
2026/07/12 22:16:13.072, 0, 252.81, 99, 29
2026/07/12 22:16:13.072, 1, 300.74, 99, 21
2026/07/12 22:16:13.072, 2, 247.22, 99, 25
2026/07/12 22:16:13.072, 3, 300.21, 99, 30
2026/07/12 22:16:13.572, 0, 256.54, 98, 30
2026/07/12 22:16:13.572, 1, 300.74, 99, 21
2026/07/12 22:16:13.572, 2, 247.22, 99, 25
2026/07/12 22:16:13.572, 3, 300.21, 99, 30
2026/07/12 22:16:14.072, 0, 214.55, 0, 0
2026/07/12 22:16:14.072, 1, 290.64, 74, 13
2026/07/12 22:16:14.072, 2, 243.10, 66, 21
2026/07/12 22:16:14.072, 3, 276.35, 0, 0
2026/07/12 22:16:14.572, 0, 196.96, 98, 31
2026/07/12 22:16:14.572, 1, 247.24, 100, 22
2026/07/12 22:16:14.572, 2, 182.13, 98, 28
2026/07/12 22:16:14.572, 3, 254.54, 99, 30
2026/07/12 22:16:15.072, 0, 235.41, 100, 31
2026/07/12 22:16:15.072, 1, 254.53, 99, 22
2026/07/12 22:16:15.072, 2, 188.89, 99, 26
2026/07/12 22:16:15.072, 3, 262.27, 94, 30
2026/07/12 22:16:15.572, 0, 235.41, 100, 31
2026/07/12 22:16:15.572, 1, 305.41, 99, 22
2026/07/12 22:16:15.572, 2, 247.76, 99, 27
2026/07/12 22:16:15.572, 3, 302.93, 97, 30
2026/07/12 22:16:16.072, 0, 254.95, 99, 30
2026/07/12 22:16:16.072, 1, 305.41, 99, 22
2026/07/12 22:16:16.072, 2, 247.76, 99, 27
2026/07/12 22:16:16.072, 3, 302.93, 97, 30
2026/07/12 22:16:16.572, 0, 255.75, 99, 29
2026/07/12 22:16:16.573, 1, 300.45, 99, 21
2026/07/12 22:16:16.573, 2, 248.44, 98, 26
2026/07/12 22:16:16.573, 3, 300.41, 98, 29
2026/07/12 22:16:17.073, 0, 256.11, 99, 30
2026/07/12 22:16:17.073, 1, 300.46, 99, 21
2026/07/12 22:16:17.073, 2, 249.41, 98, 26
2026/07/12 22:16:17.073, 3, 299.80, 98, 29
2026/07/12 22:16:17.573, 0, 256.03, 100, 30
2026/07/12 22:16:17.573, 1, 299.91, 99, 21
2026/07/12 22:16:17.573, 2, 247.90, 99, 26
2026/07/12 22:16:17.573, 3, 299.66, 96, 29
2026/07/12 22:16:18.073, 0, 256.03, 100, 30
2026/07/12 22:16:18.073, 1, 299.77, 100, 21
2026/07/12 22:16:18.073, 2, 248.85, 99, 26
2026/07/12 22:16:18.073, 3, 299.66, 96, 29
2026/07/12 22:16:18.573, 0, 255.86, 100, 30
2026/07/12 22:16:18.573, 1, 299.77, 100, 21
2026/07/12 22:16:18.573, 2, 248.85, 99, 26
2026/07/12 22:16:18.573, 3, 299.63, 99, 30
2026/07/12 22:16:19.073, 0, 257.39, 99, 30
2026/07/12 22:16:19.073, 1, 299.82, 100, 21
2026/07/12 22:16:19.073, 2, 247.76, 100, 26
2026/07/12 22:16:19.073, 3, 300.30, 99, 29
2026/07/12 22:16:19.573, 0, 258.36, 99, 30
2026/07/12 22:16:19.573, 1, 300.32, 99, 21
2026/07/12 22:16:19.573, 2, 249.56, 99, 25
2026/07/12 22:16:19.573, 3, 300.31, 99, 30
2026/07/12 22:16:20.073, 0, 257.86, 99, 30
2026/07/12 22:16:20.073, 1, 299.93, 100, 22
2026/07/12 22:16:20.073, 2, 250.77, 99, 27
