IFBench300: 0 complete, 300 pending
complete=69/300 key=22 endpoint=http://127.0.0.1:9300 tokens=3205 finish=stop attempts=1
complete=70/300 key=36 endpoint=http://127.0.0.1:9300 tokens=2855 finish=stop attempts=1
complete=71/300 key=44 endpoint=http://127.0.0.1:9300 tokens=3645 finish=stop attempts=1
complete=72/300 key=92 endpoint=http://127.0.0.1:9300 tokens=3560 finish=stop attempts=1
complete=73/300 key=71 endpoint=http://127.0.0.1:9400 tokens=3010 finish=stop attempts=1
complete=74/300 key=17 endpoint=http://127.0.0.1:9400 tokens=2896 finish=stop attempts=1
complete=75/300 key=86 endpoint=http://127.0.0.1:9300 tokens=3154 finish=stop attempts=1
complete=76/300 key=85 endpoint=http://127.0.0.1:9400 tokens=2798 finish=stop attempts=1
complete=77/300 key=84 endpoint=http://127.0.0.1:9300 tokens=2894 finish=stop attempts=1
complete=78/300 key=112 endpoint=http://127.0.0.1:9300 tokens=3290 finish=stop attempts=1
complete=79/300 key=138 endpoint=http://127.0.0.1:9300 tokens=2412 finish=stop attempts=1
complete=80/300 key=56 endpoint=http://127.0.0.1:9300 tokens=4015 finish=stop attempts=1
complete=81/300 key=122 endpoint=http://127.0.0.1:9300 tokens=3634 finish=stop attempts=1
complete=82/300 key=139 endpoint=http://127.0.0.1:9400 tokens=2214 finish=stop attempts=1
complete=83/300 key=58 endpoint=http://127.0.0.1:9300 tokens=4116 finish=stop attempts=1
complete=84/300 key=117 endpoint=http://127.0.0.1:9400 tokens=3444 finish=stop attempts=1
complete=85/300 key=73 endpoint=http://127.0.0.1:9400 tokens=3198 finish=stop attempts=1
complete=86/300 key=144 endpoint=http://127.0.0.1:9300 tokens=3082 finish=stop attempts=1
complete=87/300 key=4 endpoint=http://127.0.0.1:9300 tokens=3873 finish=stop attempts=1
complete=88/300 key=38 endpoint=http://127.0.0.1:9300 tokens=3767 finish=stop attempts=1
complete=89/300 key=161 endpoint=http://127.0.0.1:9400 tokens=2049 finish=stop attempts=1
complete=90/300 key=76 endpoint=http://127.0.0.1:9300 tokens=4267 finish=stop attempts=1
complete=91/300 key=74 endpoint=http://127.0.0.1:9300 tokens=3988 finish=stop attempts=1
complete=92/300 key=114 endpoint=http://127.0.0.1:9300 tokens=4020 finish=stop attempts=1
complete=93/300 key=120 endpoint=http://127.0.0.1:9300 tokens=4021 finish=stop attempts=1
complete=94/300 key=194 endpoint=http://127.0.0.1:9300 tokens=1636 finish=stop attempts=1
complete=95/300 key=90 endpoint=http://127.0.0.1:9300 tokens=4257 finish=stop attempts=1
complete=96/300 key=3 endpoint=http://127.0.0.1:9400 tokens=3868 finish=stop attempts=1
complete=97/300 key=5 endpoint=http://127.0.0.1:9400 tokens=4257 finish=stop attempts=1
complete=98/300 key=77 endpoint=http://127.0.0.1:9400 tokens=4165 finish=stop attempts=1
complete=99/300 key=193 endpoint=http://127.0.0.1:9400 tokens=563 finish=stop attempts=1
complete=100/300 key=119 endpoint=http://127.0.0.1:9400 tokens=3628 finish=stop attempts=1
complete=101/300 key=140 endpoint=http://127.0.0.1:9300 tokens=2925 finish=stop attempts=1
complete=102/300 key=121 endpoint=http://127.0.0.1:9400 tokens=3271 finish=stop attempts=1
complete=103/300 key=67 endpoint=http://127.0.0.1:9400 tokens=3037 finish=stop attempts=1
complete=104/300 key=46 endpoint=http://127.0.0.1:9300 tokens=5234 finish=stop attempts=1
complete=105/300 key=57 endpoint=http://127.0.0.1:9400 tokens=4205 finish=stop attempts=1
complete=106/300 key=29 endpoint=http://127.0.0.1:9400 tokens=3944 finish=stop attempts=1
complete=107/300 key=41 endpoint=http://127.0.0.1:9400 tokens=4799 finish=stop attempts=1
complete=108/300 key=141 endpoint=http://127.0.0.1:9400 tokens=4109 finish=stop attempts=1
complete=109/300 key=30 endpoint=http://127.0.0.1:9300 tokens=5140 finish=stop attempts=1
complete=110/300 key=47 endpoint=http://127.0.0.1:9400 tokens=4805 finish=stop attempts=1
complete=111/300 key=2 endpoint=http://127.0.0.1:9300 tokens=5100 finish=stop attempts=1
complete=112/300 key=53 endpoint=http://127.0.0.1:9400 tokens=4829 finish=stop attempts=1
complete=113/300 key=162 endpoint=http://127.0.0.1:9300 tokens=3298 finish=stop attempts=1
complete=114/300 key=31 endpoint=http://127.0.0.1:9400 tokens=3334 finish=stop attempts=1
complete=115/300 key=59 endpoint=http://127.0.0.1:9400 tokens=5029 finish=stop attempts=1
complete=116/300 key=134 endpoint=http://127.0.0.1:9300 tokens=4806 finish=stop attempts=1
complete=117/300 key=197 endpoint=http://127.0.0.1:9400 tokens=1359 finish=stop attempts=1
complete=118/300 key=135 endpoint=http://127.0.0.1:9400 tokens=4578 finish=stop attempts=1
complete=119/300 key=123 endpoint=http://127.0.0.1:9400 tokens=5255 finish=stop attempts=1
complete=120/300 key=23 endpoint=http://127.0.0.1:9400 tokens=5169 finish=stop attempts=1
complete=121/300 key=21 endpoint=http://127.0.0.1:9400 tokens=5384 finish=stop attempts=1
complete=122/300 key=115 endpoint=http://127.0.0.1:9400 tokens=5271 finish=stop attempts=1
complete=123/300 key=146 endpoint=http://127.0.0.1:9300 tokens=4718 finish=stop attempts=1
complete=124/300 key=198 endpoint=http://127.0.0.1:9300 tokens=3267 finish=stop attempts=1
complete=125/300 key=199 endpoint=http://127.0.0.1:9400 tokens=1547 finish=stop attempts=1
complete=126/300 key=43 endpoint=http://127.0.0.1:9400 tokens=6166 finish=stop attempts=1
complete=127/300 key=225 endpoint=http://127.0.0.1:9400 tokens=1292 finish=stop attempts=1
complete=128/300 key=39 endpoint=http://127.0.0.1:9400 tokens=5854 finish=stop attempts=1
complete=129/300 key=192 endpoint=http://127.0.0.1:9300 tokens=3907 finish=stop attempts=1
complete=130/300 key=89 endpoint=http://127.0.0.1:9400 tokens=6497 finish=stop attempts=1
complete=131/300 key=137 endpoint=http://127.0.0.1:9400 tokens=6162 finish=stop attempts=1
complete=132/300 key=51 endpoint=http://127.0.0.1:9400 tokens=6969 finish=stop attempts=1
complete=133/300 key=221 endpoint=http://127.0.0.1:9400 tokens=1886 finish=stop attempts=1
complete=134/300 key=234 endpoint=http://127.0.0.1:9300 tokens=2787 finish=stop attempts=1
complete=135/300 key=170 endpoint=http://127.0.0.1:9300 tokens=5342 finish=stop attempts=1
complete=136/300 key=262 endpoint=http://127.0.0.1:9300 tokens=978 finish=stop attempts=1
complete=137/300 key=113 endpoint=http://127.0.0.1:9400 tokens=6370 finish=stop attempts=1
complete=138/300 key=136 endpoint=http://127.0.0.1:9300 tokens=6806 finish=stop attempts=1
complete=139/300 key=220 endpoint=http://127.0.0.1:9300 tokens=3702 finish=stop attempts=1
complete=140/300 key=69 endpoint=http://127.0.0.1:9400 tokens=7012 finish=stop attempts=1
complete=141/300 key=54 endpoint=http://127.0.0.1:9300 tokens=7932 finish=stop attempts=1
complete=142/300 key=182 endpoint=http://127.0.0.1:9300 tokens=5350 finish=stop attempts=1
complete=143/300 key=160 endpoint=http://127.0.0.1:9300 tokens=6448 finish=stop attempts=1
complete=144/300 key=79 endpoint=http://127.0.0.1:9400 tokens=6963 finish=stop attempts=1
complete=145/300 key=80 endpoint=http://127.0.0.1:9300 tokens=7951 finish=stop attempts=1
complete=146/300 key=164 endpoint=http://127.0.0.1:9300 tokens=6660 finish=stop attempts=1
complete=147/300 key=179 endpoint=http://127.0.0.1:9400 tokens=4779 finish=stop attempts=1
complete=148/300 key=40 endpoint=http://127.0.0.1:9300 tokens=8210 finish=stop attempts=1
complete=149/300 key=280 endpoint=http://127.0.0.1:9300 tokens=332 finish=stop attempts=1
complete=150/300 key=274 endpoint=http://127.0.0.1:9300 tokens=643 finish=stop attempts=1
complete=151/300 key=219 endpoint=http://127.0.0.1:9400 tokens=3259 finish=stop attempts=1
complete=152/300 key=244 endpoint=http://127.0.0.1:9300 tokens=3473 finish=stop attempts=1
complete=153/300 key=236 endpoint=http://127.0.0.1:9300 tokens=4039 finish=stop attempts=1
complete=154/300 key=186 endpoint=http://127.0.0.1:9300 tokens=6246 finish=stop attempts=1
complete=155/300 key=261 endpoint=http://127.0.0.1:9400 tokens=617 finish=stop attempts=1
complete=156/300 key=242 endpoint=http://127.0.0.1:9300 tokens=3775 finish=stop attempts=1
complete=157/300 key=195 endpoint=http://127.0.0.1:9400 tokens=4637 finish=stop attempts=1
complete=158/300 key=276 endpoint=http://127.0.0.1:9300 tokens=1146 finish=stop attempts=1
complete=159/300 key=284 endpoint=http://127.0.0.1:9300 tokens=647 finish=stop attempts=1
complete=160/300 key=167 endpoint=http://127.0.0.1:9400 tokens=6423 finish=stop attempts=1
complete=161/300 key=257 endpoint=http://127.0.0.1:9400 tokens=1351 finish=stop attempts=1
complete=162/300 key=143 endpoint=http://127.0.0.1:9400 tokens=8415 finish=stop attempts=1
